ID,ErrorType,Title,Description,Message
1,Error,Permission denied to access property "x",The JavaScript exception "Permission denied to access property" occurs when there was an attempt to access an object for which you have no permission.,DOMException: Blocked a frame with origin "x" from accessing a cross-origin frame. (Chromium-based)
2,InternalError,Too much recursion,"The JavaScript exception ""too much recursion"" or ""Maximum call stack size exceeded"" occurs when there are too many function calls, or a function is missing a base case.",RangeError: Maximum call stack size exceeded (Chrome)
3,RangeError,BigInt division by zero,The JavaScript exception "BigInt division by zero" occurs when a BigInt is divided by 0n.,RangeError: Division by zero (V8-based)
4,ReferenceError,"""x"" is not defined",The JavaScript exception "variable is not defined" occurs when there is a non-existent variable referenced somewhere.,ReferenceError: "x" is not defined (V8-based & Firefox)
5,SyntaxError,"""0""-prefixed octal literals and octal escape seq. are deprecated",The JavaScript strict mode-only exception "0-prefixed octal literals and octal escape sequences are deprecated; for octal literals use the "0o" prefix instead" occurs when deprecated octal literals and octal escape sequences are used.,SyntaxError: Octal literals are not allowed in strict mode. (V8-based)
6,TypeError,"""x"" has no properties",The JavaScript exception "null (or undefined) has no properties" occurs when you attempt to access properties of null and undefined. They don't have any.,TypeError: Cannot read properties of undefined (reading 'x') (V8-based)
7,URIError,Malformed URI sequence,The JavaScript exception "malformed URI sequence" occurs when URI encoding or decoding wasn't successful.,URIError: URI malformed (V8-based)
8,Warning,Unreachable code after return statement,"The JavaScript warning ""unreachable code after return statement"" occurs when using an expression after a return statement, or when using a semicolon-less return statement but including an expression directly after.",Warning: unreachable code after return statement (Firefox)
9,RangeError,Invalid date,The JavaScript exception "invalid date" occurs when a string leading to an invalid date has been provided to Date or Date.parse().,RangeError: Invalid time value (V8-based)
10,SyntaxError,Illegal character,The JavaScript exception "illegal character" occurs when there is an invalid or unexpected token that doesn't belong at this position in the code.,SyntaxError: Invalid or unexpected token (Chrome)
